Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
TMPSRPT,TRPT,Temporary print key table,Sales,,,,"TABCUR  (Currency table  ) , AREPORT  (Report dictionary  ) , TABSOHTYP  (Order type table  ) , TABSRHTYP  (Return type table  )",,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   ,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   
TMPTCHANGE,TCG,Currency rates temp. table,Fixed Assets,,,,,,CHGTYP +   CURDEN +   CUR +   CHGSTRDAT +   ,CHGTYP +   CURDEN +   CUR +   CHGSTRDAT +   
TRADESHOW,OMT,Professional trade shows,Common Data,,Customer relation,Marketing,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CMARKETING  (Marketing campaign  )",__||__CMGNUM(Campaign code) +   ,OMTNUM(Code) +   __||__ ,OMTNUM(Code) +    __||__   CMGNUM(Campaign code) +   
TRANNOTED,TND,Transportation note,Common Data,TRSNE,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )",,TNHNUM(Transport note) +   TNDLIN(Line) +   ,TNHNUM(Transport note) +   TNDLIN(Line) +   
TRANNOTEH,TNH,Transportation note,Common Data,TRSNE,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , TABTNHTYP  (Transportation note type  )",,TNHNUM(Transport note) +   ,TNHNUM(Transport note) +   
TRANSPORT,TRNP,Transport,Purchasing,,,,"BPARTNER  (Business partner  ) , BPCARRIER  (Carriers  ) , TABPLACE  (Transit area  )",__||__ARVEXPDAT(Exp. arrival date) +   TRNNUM(Transport no.) +   ,TRNNUM(Transport no.) +   __||__ ,TRNNUM(Transport no.) +    __||__   ARVEXPDAT(Exp. arrival date) +   TRNNUM(Transport no.) +   
TRCABX3,TAB,Abel X3 logs,Fixed Assets,,,,,__||__,NUMACT +   CPY +   TRITRC +   SEQNUM +   ERRCOD +   __||__ NUMACT +   TRITRC +   CPY +   SEQNUM +   ,NUMACT +   CPY +   TRITRC +   SEQNUM +   ERRCOD +    __||__   NUMACT +   TRITRC +   CPY +   SEQNUM +   
TRCVCRDOC,TVD,Log file of accounting entries,Common Data,,,,GTYPACCENT  (Document types  ),__||____||__,TYPNUM(Document type) +   NUM(Document number) +   TYPVCR(Entry type) +   NUMVCR(Accounting document) +   __||__ ACCNUM(Internal number) +   TYPVCR(Entry type) +   NUMVCR(Accounting document) +   __||__ TYPVCR(Entry type) +   NUMVCR(Accounting document) +   ,TYPNUM(Document type) +   NUM(Document number) +   TYPVCR(Entry type) +   NUMVCR(Accounting document) +    __||__   ACCNUM(Internal number) +   TYPVCR(Entry type) +   NUMVCR(Accounting document) +    __||__   TYPVCR(Entry type) +   NUMVCR(Accounting document) +   
TXSA,TXS,Financial data extraction parameters,Financials,TDB,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AREPORT  (Report dictionary  ) , TXSA  (Financial data extraction parameters  )",__||__,TXSNAM(Extraction code name) +   __||__ LSTGRP(Report group) +   TXSNAM(Extraction code name) +   ,TXSNAM(Extraction code name) +    __||__   LSTGRP(Report group) +   TXSNAM(Extraction code name) +   
TXSAC,TXA,Grid column setup,Financials,TDB,,,TXSA  (Financial data extraction parameters  ),,TXSNAM(Extraction code name) +   NUMCOL(Column number) +   ,TXSNAM(Extraction code name) +   NUMCOL(Column number) +   
TXSD,TXD,Financial data extraction detail,Financials,TDB,,,TXSA  (Financial data extraction parameters  ),__||__,TXSNAM(Extraction code name) +   LIG(Line number) +   COL(Column) +   __||__ TXSNAM(Extraction code name) +   COL(Column) +   LIG(Line number) +   ,TXSNAM(Extraction code name) +   LIG(Line number) +   COL(Column) +    __||__   TXSNAM(Extraction code name) +   COL(Column) +   LIG(Line number) +   
TXSM,TXM,Amounts,Financials,TDB,,,"FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TXSA  (Financial data extraction parameters  )",,TXSNAM(Extraction code name) +   VERSION(Version) +   LIG(Line number) +   COL(Column) +   IND(Index) +   ,TXSNAM(Extraction code name) +   VERSION(Version) +   LIG(Line number) +   COL(Column) +   IND(Index) +   
TXSP,TXP,Value parameters/version,Financials,TDB,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TXSA  (Financial data extraction parameters  )",,TXSNAM(Extraction code name) +   VERSION(Version) +   COL(Column) +   ,TXSNAM(Extraction code name) +   VERSION(Version) +   COL(Column) +   
TXSV,TXX,Fin data extras variables,Financials,TDB,,,"ATYPE  (Data types  ) , TXSA  (Financial data extraction parameters  )",,TXSNAM(Extraction code name) +   VERSION(Version) +   VARNAM(Variable) +   ,TXSNAM(Extraction code name) +   VERSION(Version) +   VARNAM(Variable) +   
TXSW,TXW,Versions,Financials,TDB,,,"ACCCOD  (Access codes  ) , TXSA  (Financial data extraction parameters  )",__||__,LSTGRP(Report group) +   TXSNAM(Extraction code name) +   VERSION(Version) +   __||__ TXSNAM(Extraction code name) +   VERSION(Version) +   ,LSTGRP(Report group) +   TXSNAM(Extraction code name) +   VERSION(Version) +    __||__   TXSNAM(Extraction code name) +   VERSION(Version) +   
TYPACE,TPE,Accounting entry types,Fixed Assets,,,,,__||__LEG +   CPY +   DPRPLN +   ACEGRP +   ACETYP +   ,ACETYP +   LEG +   CPY +   __||__ ,ACETYP +   LEG +   CPY +    __||__   LEG +   CPY +   DPRPLN +   ACEGRP +   ACETYP +   
TYPACEINT,TPI,Accounting entry types,Fixed Assets,,,,,,ACETYP +   LEG +   CPY +   TMPFLD +   TMPIND +   ,ACETYP +   LEG +   CPY +   TMPFLD +   TMPIND +   
TYPACELEG,TPL,Accounting entry types,Fixed Assets,,,,,,ACETYP +   LEG +   CPY +   LEGLIN +   ,ACETYP +   LEG +   CPY +   LEGLIN +   
TYPCOMBEL,TYC,Communication types,A/P-A/R accounting,KBE,,,TYPCOMBEL  (Communication types  ),,COD(Type) +   NUM(Order no.) +   ,COD(Type) +   NUM(Order no.) +   
UNFILWRK,UNF,Unfilled orders report,Sales,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )",,REQNUM(Request no.) +   USER(User code) +   RPTCOD(Report code) +   NUMLIG(Line no.) +   ,REQNUM(Request no.) +   USER(User code) +   RPTCOD(Report code) +   NUMLIG(Line no.) +   
UNITOFTIME,UOT,Unit of time,Common Data,,,,TABUNIT  (Table of units of measure  ),,UOM(Unit) +   ,UOM(Unit) +   
UNPAID,UNP,Doubtful receipt entry,A/P-A/R accounting,,Accounting,Payment,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  )",,NUM(Payment no.) +   CUR(Currency) +   ,NUM(Payment no.) +   CUR(Currency) +   
UPORDER,UOH,PO history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABCONTAINER  (Freight container  ) , PFOOTINV  (Purchase invoicing elements  )",,POHNUM(Order no.) +   REVNUM(Revision no.) +   ,POHNUM(Order no.) +   REVNUM(Revision no.) +   
UPORDERC,UOC,Cumulative PO history before R,Purchasing,,Purchasing,Cumulative Purchase Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  )",,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   ,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   
UPORDERP,UOP,PO price history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  )",,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   ,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   
UPORDERQ,UOQ,PO quantity history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , ITMMASTER  (Products  )",,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   POQSEQ(Sequence number) +   ,POHNUM(Order no.) +   LINREVNUM(Revision no.) +   POPLIN(Line) +   POQSEQ(Sequence number) +   
USERGUIDES,UGD,User guides,Manufacturing,MWM,,,,,UGD(User guides) +   ,UGD(User guides) +   
VATBOX,VTB,VAT boxes,Financials,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  )",__||__,VATFNC(Function code) +   LEG(Legislation) +   LIN(Line) +   __||__ VATFNC(Function code) +   LEG(Legislation) +   VATBOX(VAT boxes) +   ,VATFNC(Function code) +   LEG(Legislation) +   LIN(Line) +    __||__   VATFNC(Function code) +   LEG(Legislation) +   VATBOX(VAT boxes) +   
VATBOXD,VTD,VAT boxes,Financials,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , GTEGRP  (  )",VATFNC(Function code) +   LEG(Legislation) +   LIN(Line) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   VAT(Tax code) +   VCRTYP(Entry type) +   VLYSTR(Validity start date) +   VLYEND(Validity end date) +   __||__VATFNC(Function code) +   LEG(Legislation) +   VCRTYP(Entry type) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   VAT(Tax code) +   VLYSTR(Validity start date) +   VLYEND(Validity end date) +   ,__||__ ,VATFNC(Function code) +   LEG(Legislation) +   LIN(Line) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   VAT(Tax code) +   VCRTYP(Entry type) +   VLYSTR(Validity start date) +   VLYEND(Validity end date) +    __||__   VATFNC(Function code) +   LEG(Legislation) +   VCRTYP(Entry type) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   VAT(Tax code) +   VLYSTR(Validity start date) +   VLYEND(Validity end date) +   
VATCLS,VCL,Tax classification,Common Data,SAFT,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , TABVAT  (Tax code table  )",,CPY(Company) +   VAT(Tax) +   ,CPY(Company) +   VAT(Tax) +   
VATENTFRM,VEF,VAT form (definition),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , AOBJEXT  (Import/export templates  ) , CSVATMAP  (  )",,VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   ,VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   
VATENTFRMD,VEFD,VAT form detail (definition),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ASTYLE  (Presentation styles  )",__||__,VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   LIN(Line) +   __||__ VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   VATBOX(VAT box) +   ,VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   LIN(Line) +    __||__   VATFRM(VAT form) +   VATFNC(Declaration) +   LEG(Legislation) +   VATBOX(VAT box) +   
VATEXEREA,VER,VAT exemption reasons,Common Data,KPO,,,,,CODE(Code) +   ,CODE(Code) +   
VATFRMENT,VFE,VAT form (values),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , AGRPFCY  (Site groupings  ) , VATGRP  (VAT entity header  )",__||____||__CODVATGRP(VAT group) +   VATFNC-DCLSTRDAT +   ,VATENTNUM(Declaration number) +   __||__ VATENTNUM(Declaration number) +   VATFNC(Function code) +   LEG(Legislation) +   CODVATGRP(VAT group) +   __||__ ,VATENTNUM(Declaration number) +    __||__   VATENTNUM(Declaration number) +   VATFNC(Function code) +   LEG(Legislation) +   CODVATGRP(VAT group) +    __||__   CODVATGRP(VAT group) +   VATFNC-DCLSTRDAT +   
VATFRMENTA,VFEA,VAT form,Financials,DCL,,,COMPANY  (Company  ),,VATENTNUM(Declaration number) +   VFEACPY(Company) +   VATBOX(VAT boxes) +   LIG(Line) +   ,VATENTNUM(Declaration number) +   VFEACPY(Company) +   VATBOX(VAT boxes) +   LIG(Line) +   
VATFRMENTC,VFEC,VAT form by company,Financials,DCL,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  )",__||__,VATENTNUM(Declaration number) +   LIG(Line) +   __||__ VATENTNUM(Declaration number) +   CPY(Company) +   VATBOX(VAT boxes) +   ,VATENTNUM(Declaration number) +   LIG(Line) +    __||__   VATENTNUM(Declaration number) +   CPY(Company) +   VATBOX(VAT boxes) +   
VATFRMENTD,VFED,VAT form detail (values),Financials,DCL,,,,__||__,VATENTNUM(Declaration number) +   LIN(Line) +   __||__ VATENTNUM(Declaration number) +   VATBOX(VAT boxes) +   ,VATENTNUM(Declaration number) +   LIN(Line) +    __||__   VATENTNUM(Declaration number) +   VATBOX(VAT boxes) +   
VATFRMENTN,VFEN,VAT form queries,Financials,DCL,,,,__||__,VATENTNUM(Declaration number) +   SEQ(Sequence) +   __||__ VATENTNUM(Declaration number) +   DCLVATTYP(VAT type) +   NUMRPT(Query no.) +   ,VATENTNUM(Declaration number) +   SEQ(Sequence) +    __||__   VATENTNUM(Declaration number) +   DCLVATTYP(VAT type) +   NUMRPT(Query no.) +   
VATGRP,VATGH,VAT entity header,Financials,DCL,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , VATGRP  (VAT entity header  ) , GAUTACE  (Automatic journals  )",,CODVATGRP(VAT group) +   ,CODVATGRP(VAT group) +   
VATGRPD,VATGD,VAT entity details,Financials,DCL,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , VATGRP  (VAT entity header  )",__||__,CODVATGRP(VAT entity) +   LIN(Line number) +   __||__ CODVATGRP(VAT entity) +   CPY(Member company) +   ,CODVATGRP(VAT entity) +   LIN(Line number) +    __||__   CODVATGRP(VAT entity) +   CPY(Member company) +   
VATHIS,VAT,Tax - history,Fixed Assets,,,,,__||__,AASREF +   DPRPLN +   DATVATREG +   TIMSTP +   __||__ AASREF +   DPRPLN +   VATREGTYP +   DATVATREG +   TIMSTP +   ,AASREF +   DPRPLN +   DATVATREG +   TIMSTP +    __||__   AASREF +   DPRPLN +   VATREGTYP +   DATVATREG +   TIMSTP +   
VATLINITMGER,VLI,German VAT line items,A/P-A/R accounting,KDEAT,,,"BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )",REFNO(Report line) +   IDUSER(User identity+ adxuid) +   ,,REFNO(Report line) +   IDUSER(User identity+ adxuid) +   
VDGERRSP,RSP,Recapitulative statem. param.,Financials,KDEAT,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , REPLINDEF  (Report line definitions  )",__||__LEG(Legislation) +   VAT-STRDAT +   __||__LEG(Legislation) +   VAT(Rate 1 activation date) +   ,LEG(Legislation) +   VAT(Rate 1 activation date) +   TRNTYP(Turnover type) +   __||__ __||__ ,LEG(Legislation) +   VAT(Rate 1 activation date) +   TRNTYP(Turnover type) +    __||__   LEG(Legislation) +   VAT-STRDAT +    __||__   LEG(Legislation) +   VAT(Rate 1 activation date) +   
VDGERTRP,TRPG,German tax return parameter,Financials,KDEAT,,,"ATABDIV  (Miscellaneous tables  ) , TABVAT  (Tax code table  ) , REPLINDEF  (Report line definitions  )",__||__VAT(Tax) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   __||__VAT(Tax) +   __||__FLGVAT(Tax management) +   VATIPT(Tax allocation) +   __||__LEG(Legislation) +   VAT(Tax) +   __||__,LEG(Legislation) +   VAT(Tax) +   LINENO(Line no.) +   __||__ __||__ __||__ __||__ __||__ LEG(Legislation) +   VAT(Tax) +   REPLINE(Report line) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   STRDAT(Start date) +   ENDDAT(End date) +   ,LEG(Legislation) +   VAT(Tax) +   LINENO(Line no.) +    __||__   VAT(Tax) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +    __||__   VAT(Tax) +    __||__   FLGVAT(Tax management) +   VATIPT(Tax allocation) +    __||__   LEG(Legislation) +   VAT(Tax) +    __||__   LEG(Legislation) +   VAT(Tax) +   REPLINE(Report line) +   FLGVAT(Tax management) +   VATIPT(Tax allocation) +   STRDAT(Start date) +   ENDDAT(End date) +   
VDSWITRP,TRSP,Switzerland,Financials,KSW,,,TABVAT  (Tax code table  ),__||____||__LEG +   VAT(Tax) +   ,LEG +   VAT(Tax) +   NUMLIG(Line no.) +   __||__ LEG +   VAT(Tax) +   REPLIN() +   __||__ ,LEG +   VAT(Tax) +   NUMLIG(Line no.) +    __||__   LEG +   VAT(Tax) +   REPLIN() +    __||__   LEG +   VAT(Tax) +   
VSORDER,VOH,Sales order history - header,Sales,,Sales,"Normal Sales Orders,Cumulative Sales Orders","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , INCOTERM  (Incoterms  ) , TABSDHTYP  (Table types deliveries  ) , SERREQUEST  (Service requests  ) , CMARKETING  (Marketing campaign  ) , TABINVCND  (  ) , TABSOHTYP  (Order type table  )",,SOHNUM(Order no.) +   REVNUM(Revision no.) +   ,SOHNUM(Order no.) +   REVNUM(Revision no.) +   
VSORDERC,VOC,Cumulative sales order history,Sales,,Sales,Cumulative Sales Orders,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , BPCUSTOMER  (Customers  ) , TABVACITM  (Tax level table  ) , SPRICCONF  (Customer pricing parameters  )",,SOHNUM(Order no.) +   ITMREVNUM(Revision no.) +   SOPLIN(Line) +   ,SOHNUM(Order no.) +   ITMREVNUM(Revision no.) +   SOPLIN(Line) +   
VSORDERP,VOP,Sales order history - price,Sales,,Sales,"Normal Sales Orders,Cumulative Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PREPINVOICE  (  ) , SALESREP  (Sales rep  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , TABINVCND  (  )",,SOHNUM(Order no.) +   LINREVNUM(Revision no.) +   SOPLIN(Line) +   SOPSEQ(Sequence) +   ,SOHNUM(Order no.) +   LINREVNUM(Revision no.) +   SOPLIN(Line) +   SOPSEQ(Sequence) +   
VSORDERQ,VOQ,Sales order history - Qties.,Sales,,Sales,"Normal Sales Orders,Cumulative Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PJMPRGBILH  (  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , BPCUSTOMER  (Customers  ) , PJMSOLITMH  (  )",,SOHNUM(Order no.) +   LINREVNUM(Revision no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   ,SOHNUM(Order no.) +   LINREVNUM(Revision no.) +   SOPLIN(Line) +   SOQSEQ(Sequence number) +   
WAREHOUSE,WRH,Warehouses,Common Data,WRH,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  )",__||__,WRH(Warehouse) +   __||__ STOFCY(Stock site) +   WRH(Warehouse) +   ,WRH(Warehouse) +    __||__   STOFCY(Stock site) +   WRH(Warehouse) +   
WARFLYER,FLY,Warranty vouchers,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  )",__||__FLYORI(Source) +   FLYORIVCR(Document no.) +   FLYORIVCRL(Journal line) +   ,NUM(Sequence no.) +   __||__ ,NUM(Sequence no.) +    __||__   FLYORI(Source) +   FLYORIVCR(Document no.) +   FLYORIVCRL(Journal line) +   
WARREQCPN,RCW,Warranty request lines,Common Data,,,,"TABCUR  (Currency table  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  )",,RQWNUM(Warranty request) +   RQWNUMLIN(Line number) +   ,RQWNUM(Warranty request) +   RQWNUMLIN(Line number) +   
WARREQUEST,RQW,Warranty requests,Common Data,,,,"FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  )",,RQWNUM(Sequence no.) +   ,RQWNUM(Sequence no.) +   
WCUNLISDET,WCU,Print stock count,Stock,,,,"TABCUR  (Currency table  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  )",,NUMREQ(Query no.) +   USR(Operator) +   CUNSSSNUM(Stock count session) +   CUNLISNUM(Count worksheet) +   ITMLISNUM(Product rank) +   ,NUMREQ(Query no.) +   USR(Operator) +   CUNSSSNUM(Stock count session) +   CUNLISNUM(Count worksheet) +   ITMLISNUM(Product rank) +   
